Date,LBMA/GOLD,CHRIS/CME_O1,LBMA/SILVER,CHRIS/CME_DA1,CHRIS/CME_LN1,CHRIS/CME_C1,CHRIS/CME_RR1,CHRIS/CME_LB1,CHRIS/CME_RB1,CHRIS/CME_NG1,CHRIS/CME_PL1,CHRIS/CME_S1
2016-05-19,1253.75,194.25,16.6,12.79,81.15,397.5,12.085,315.9,1.6386,2.01,,1073.75
2016-05-20,1256.5,189.25,16.56,12.81,80.25,390.0,11.8,311.0,1.6272,2.037,1022.5,1071.75
2016-05-23,1250.4,189.0,16.31,12.8,79.8,394.0,11.785,305.0,1.6371,2.093,1012.3,1074.25
2016-05-24,1242.65,190.25,16.27,12.82,79.375,397.25,11.6,298.1,1.645,2.064,1003.7,1057.5
2016-05-25,1220.75,188.75,16.205,12.83,79.925,396.5,11.555,302.3,1.6439,1.98,994.2,1056.75
2016-05-26,1226.65,190.0,16.46,12.78,80.7,404.0,11.25,304.1,1.6448,1.972,995.3,1084.75
2016-05-27,1221.25,191.75,16.3,12.8,80.425,408.0,11.085,313.1,1.6227,2.145,995.0,1079.0
2016-05-31,1210.5,193.0,16.06,12.81,80.75,412.5,10.82,305.9,1.6318,2.16,981.3,1086.0
2016-06-01,1216.25,189.0,15.95,12.81,80.8,404.25,10.94,300.6,1.596,2.287,981.5,1078.75
2016-06-02,1215.5,190.75,15.98,12.76,81.275,413.75,11.045,297.0,1.6238,2.369,973.5,1101.25
2016-06-03,1211.0,189.25,16.1,13.08,82.0,414.0,11.36,301.8,1.6261,2.404,960.8,1142.0
2016-06-06,1240.55,188.0,16.4,13.18,82.325,419.75,11.255,304.1,1.6127,2.439,988.0,1143.25
2016-06-07,1241.1,194.5,16.31,13.25,82.425,426.25,11.65,306.1,1.5906,2.444,997.9,1136.75
2016-06-08,1252.4,198.0,16.75,13.12,82.25,427.25,11.65,297.3,1.5903,2.481,1001.1,1140.25
2016-06-09,1258.35,205.0,17.05,13.25,82.625,430.25,11.5,297.1,1.629,2.465,1011.7,1177.0
2016-06-10,1266.6,204.0,17.32,13.25,82.7,426.5,11.31,308.4,1.6147,2.593,1004.0,1174.5
2016-06-13,1284.1,201.75,17.32,13.25,82.25,427.5,11.35,305.0,1.5535,2.595,994.1,1191.75
2016-06-14,1279.4,205.0,17.25,13.32,81.8,429.5,11.27,302.2,1.5263,2.576,991.7,1168.0
2016-06-15,1282.0,207.0,17.41,13.28,88.675,435.75,11.315,298.2,1.4901,2.607,975.7,1171.25
2016-06-16,1307.0,204.5,17.71,13.24,81.62,426.25,11.61,297.0,1.4957,2.592,976.4,1155.5
2016-06-17,1284.5,203.0,17.37,13.24,87.025,425.0,11.33,302.0,1.4628,2.584,965.8,1133.75
2016-06-20,1283.25,211.0,17.335,13.23,86.125,435.5,11.395,300.7,1.5126,2.652,966.9,1153.5
